chin,0:0,8:-49,12:-98,10:-146,-5:-193,-32:-234,-64:-269,-98:-299,-138:-311,-177:-307,-210:-283,-242:-257,-270:-228,-291:-193,-304:-155,-314:-115,-321:-75
left_eyebrow,0:0,-30:12,-62:3,-89:-12,-114:-28
right_eyebrow,0:0,-30:3,-55:6,-79:2,-89:-19
nose_bridge,0:0,4:-27,8:-55,11:-84
nose_tip,0:0,-17:-9,-35:-19,-54:-17,-70:-13
left_eye,0:0,-20:2,-37:-3,-49:-15,-33:-12,-15:-8
right_eye,0:0,-20:5,-36:0,-48:-9,-33:-8,-17:-4
top_lip,0:0,-28:-1,-56:-5,-74:-13,-94:-12,-113:-17,-127:-24,-118:-26,-92:-22,-72:-22,-53:-16,-8:-6
bottom_lip,0:0,20:-24,41:-36,62:-36,82:-30,106:-10,127:24,119:18,77:-11,58:-17,38:-15,9:-2
